video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=mFA5dLsLS94&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@THEMADRONAGROUP,The Madrona Group | Puget Sound Real Estate,Seattle Housing Market December 2025  - The Great Housing Reset Explained,390,1 month,Is Seattle already experiencing the Great Housing Reset? Redfin coined the phrase to describe the post-COVID market transition ...,2026-01-21 23:06:44.772266
/watch?v=bK6x6ohhJ3o&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,The Seattle Real Estate Market Has SHIFTED,3K,2 months,"In this video, I am giving you a breakdown on why this is the most buyer friendly market we've had since 2019. Thinking about ...",2026-01-21 23:06:44.773581
/watch?v=Vj0r0SAZp6Q&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@LivinginSeattlewithSean,Living in Seattle with Sean McConnell,The Seattle Housing Market Just SHIFTED (Here’s Why),39K,4 months,"Seattle's housing market just shifted dramatically. Homes that got 10 offers last year now get 2; days-on-market jumped 50%, and ...",2026-01-21 23:06:44.775379
/watch?v=u4A_pT8Prb0&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@DiscoverTheCities2025,Discover The Cities,10 Pacific Northwest Cities Facing a BRUTAL Housing Crash 2026,24K,8 days,"Is the Pacific Northwest housing dream quietly turning into a financial trap for homeowners and investors? In this video, we take a ...",2026-01-21 23:06:44.776537
/watch?v=24b_whmb2dM&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@DannyGrecoHomes,Moving to Seattle,Seattle Housing Shocker – What No Ones Talking About,1.3K,5 months,"The latest housing market trends for Seattle, the Eastside, and King County show a mix of resilience and adjustment. Seattle home ...",2026-01-21 23:06:44.779903
/watch?v=Q0cgWlT-5Lo&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@MHFIN,MHFIN,Seattle's Bizarre Phase 2 Crash,59K,1 month,See Foreclosure Listings → Statewide Washington: https://www.foreclosure.com/state/wa?rsp=3670 Bill McBride Article ...,2026-01-21 23:06:44.781511
/watch?v=uQcX9nRzvec&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@kiro7,KIRO 7 News,Amazon layoff impact on Seattle housing market,427K,2 months,The Seattle real estate market is already starting to feel the impact of the massive layoffs at Amazon as some homeowners and ...,2026-01-21 23:06:44.782862
/watch?v=Q-t_3Vc04d8&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,Why Is Everyone Leaving Seattle: What Buyers and Sellers Need to Know,11K,4 months,Download Our FREE Relocation Guide Here!✓ https://bit.ly/ReloPDF ➡️ Our Seattle New Condo Guide: https://bit.ly/4hl8TzB ...,2026-01-21 23:06:44.786682
/watch?v=VE4M2tryIy8&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@THEMADRONAGROUP,The Madrona Group | Puget Sound Real Estate,Seattle July 2025 Housing Market Update – 2.6‑Month Supply,50K,6 months,Seattle Housing Market July 2025 Update from Jason Fox at The Madrona Group — your go‑to for real market insight. This month ...,2026-01-21 23:06:44.788463
/watch?v=qg52xr9qjmg&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@ShaniKalua,shani kalua,"SEATTLE APARTMENT HUNTING | touring 10 units in downtown seattle ft/ rent prices, budget, & tips",26K,6 months,"Come apartment hunting with me in Seattle as I tour 10 different 1 bed, 1 bath units all priced around $3000/month! From high-rise ...",2026-01-21 23:06:44.790311
/watch?v=GXNGAorPdus&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@KING5Seattle,KING 5 Seattle,New zoning law hopes to lower housing costs,7.1K,8 months,"""Upzoning"" hopes to lower housing costs in Seattle by adding more housing units onto a lot by building vertically.",2026-01-21 23:06:44.791562
/watch?v=6JMH16nEGC0&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@livinginswa,Adriano Tori,Seattle Housing Shock: How Amazon Layoffs Are Changing the Market | Adriano Tori on KING 5,68K,2 months,"Seattle's housing market is shifting after Amazon's layoffs 🏙️ In this exclusive KING 5 Seattle segment, Adriano Tori, Founder ...",2026-01-21 23:06:44.794813
/watch?v=ISo7ZgulTWY&t=44s&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@matthewchapmanrealtor,Living in Seattle & Bellevue with Matthew Chapman ,Seattle Cost of Living 2025: Is it Worth It?,4.4K,1 year,"Seattle Cost of Living 2025: Is it Worth It? - Matthew Chapman Thinking about moving to Seattle? In this video, we're diving into ...",2026-01-21 23:06:44.796704
